Ticker,last_date,current_price,rating_group,ml_var5_price_1q,ml_min_price_1q,ml_var5_price_2q,ml_min_price_2q,breakeven_price_rating_1q,breakeven_price_rating_2q,mc_min_p5_1q,mc_min_p3_1q,mc_min_p1_1q,mc_min_p01_1q,mc_min_p5_2q,mc_min_p3_2q,mc_min_p1_2q,mc_min_p01_2q,dd_q05_1q,dd_q03_1q,dd_q01_1q,dd_q001_1q,dd_q05_2q,dd_q03_2q,dd_q01_2q,dd_q001_2q
AMP,2025-11-17,13.4,B,10.166369119286538,7.201597386598587,9.440845775604249,6.2495822548866276,4.906296274065972,4.426287409663201,4.034779711089634e-06,7.549516257299617e-07,4.037725241127067e-09,3.1718461277879505e-11,5.072961599978797e-08,3.196348525434996e-09,4.0287433659613713e-11,1.5838026866650256e-14,-0.24131573736667633,-0.2677169740200043,-0.3427080810070038,-0.46256735920906067,-0.2954592704772949,-0.3393600881099701,-0.41902852058410645,-0.5336132645606995
AMS,2025-11-17,7.8,B,5.31366798877716,3.733248031139374,4.6888133704662325,2.8890875458717344,2.50673311650753,2.1946604222059247,4.4212544337140395e-17,4.506927941567671e-18,1.6693695316326733e-19,7.678808927721792e-23,2.9209241302328897e-30,2.976696675093174e-31,2.6585310303023142e-33,2.9213756554957174e-39,-0.3187605142593384,-0.357247918844223,-0.4208805561065674,-0.5213784575462341,-0.3988700807094574,-0.4372665584087372,-0.5094374418258667,-0.629604160785675
AMV,2025-11-17,2.0,B,1.2977423071861267,0.9270797967910767,1.1313995718955994,0.81563401222229,0.6138560473918915,0.5240711867809296,1.7018159376944488e-51,1.5859886821464038e-52,9.614965872627111e-55,6.956258392177918e-57,1.5815060794649698e-98,6.043161808904766e-100,1.9164934665751186e-102,6.134054061303841e-106,-0.35112884640693665,-0.3861439526081085,-0.464028924703598,-0.5364601016044617,-0.4343002140522003,-0.47592881321907043,-0.5310332179069519,-0.592182993888855
ANT,2025-11-17,40.9,B,28.43554234802723,19.57832463979721,26.47877545952797,15.407282882928847,13.409782902896405,12.320302061736584,9.255320277004953,6.645050422054735,2.636821628132038,0.2610104251347964,9.457710259803715,6.501483447157351,3.1601811216577964,0.5888330401193465,-0.30475446581840515,-0.3442648947238922,-0.40002426505088806,-0.5213123559951782,-0.352597177028656,-0.39754024147987366,-0.47216856479644775,-0.6232938170433044
ANV,2025-11-17,28.8,B,20.187395095825195,17.789632415771486,18.703558444976807,16.386831092834473,9.65313334465027,9.071289253234864,2.308178946808895,1.45622401886124,0.4732377021451911,0.03276501771232571,2.71168589319381,1.6611114500104134,0.6415123570174599,0.06527132569411927,-0.2990487813949585,-0.32964351773262024,-0.3527435064315796,-0.38230443000793457,-0.3505708873271942,-0.3700493574142456,-0.401997834444046,-0.4310128092765808
APC,2025-11-17,7.1,B,5.120420897006988,3.5919375777244564,4.7542844891548155,3.1367055058479307,2.4352530941367148,2.2187332838773726,1.2730169033024342e-19,2.5226584613781215e-20,1.7612462244060545e-21,1.012334311931456e-23,1.2762901996860512e-36,1.464801181665879e-37,2.0696083482025916e-39,5.998589640385161e-43,-0.2788139581680298,-0.31401321291923523,-0.38873597979545593,-0.49409329891204834,-0.33038246631622314,-0.37500470876693726,-0.44177597761154175,-0.5582104921340942
APF,2025-11-17,39.2,B,31.29352289438248,21.12870321273804,28.73190293312073,18.752494621276856,14.813740921020509,13.199603509902955,10.102628866260604,7.053700734216713,3.6716544345236994,0.4659809965313634,9.035987438427235,7.152439176774136,3.2043862785310657,0.3511544134153826,-0.20169584453105927,-0.24419689178466797,-0.3247717618942261,-0.4610024690628052,-0.2670432925224304,-0.32655084133148193,-0.40442579984664917,-0.5216200351715088
APG,2025-11-17,11.0,B,7.893335312604904,5.480543553829193,7.2291499376297,4.565916836261749,3.6966583877801895,3.4347903579473495,2.361318801775304e-06,8.275589850580013e-07,6.072966226456004e-08,3.0874356953155986e-10,1.2261525072801832e-09,1.5257863836090036e-10,4.655640583629554e-12,4.73792771201646e-15,-0.28242406249046326,-0.32788029313087463,-0.3892977833747864,-0.5017687678337097,-0.34280455112457275,-0.375492662191391,-0.4543987810611725,-0.5849166512489319
APH,2025-11-17,6.3,B,4.254217091202736,2.888678973913193,3.6388407737016677,2.1120597302913664,1.971128663420677,1.7098255679011345,1.4870114622344464e-24,1.6354832615787051e-25,2.5727839075089188e-27,1.6466288869735407e-29,1.2962489799297794e-44,6.132123759092403e-46,1.225900640669121e-48,4.330825025860117e-53,-0.32472744584083557,-0.3742448687553406,-0.43472835421562195,-0.5414795279502869,-0.42240622639656067,-0.45719823241233826,-0.5499143004417419,-0.6647524237632751
API,2025-11-17,7.4,B,4.991657185554504,3.4886133432388307,4.487350392341614,2.752188074588776,2.3619351744651795,2.111773559451103,5.155978265431602e-18,1.2574893443719845e-18,3.35615730469039e-20,4.34269413607777e-22,6.72294493529572e-33,3.0354107837006865e-34,2.3840790473481912e-36,1.2934730041499949e-40,-0.32545173168182373,-0.361639142036438,-0.4304731786251068,-0.5285657644271851,-0.39360129833221436,-0.4292503893375397,-0.502151370048523,-0.6280826926231384
APL,2025-11-17,12.0,B,8.201834321022034,5.130793333053589,7.472903251647949,4.638806104660034,3.7997315526008606,3.46955144405365,0.061085297819166925,0.017627942645982584,0.0036216963277632733,7.265658507476562e-05,0.035787676643644434,0.012928699054672869,0.0010568825970733394,1.9500302618351418e-05,-0.3165138065814972,-0.36671140789985657,-0.4401565194129944,-0.5724338889122009,-0.3772580623626709,-0.42174142599105835,-0.5000606775283813,-0.6134328246116638
APP,2025-11-17,5.5,B,4.135201275348663,2.905868425965309,3.7356199622154236,2.5050621926784515,1.9598600342869759,1.7426498755812645,2.2957038866461e-22,3.5359787459133365e-23,9.809760839692622e-25,4.548913955884897e-27,7.765919104511182e-42,5.137720087265467e-43,3.875374392059368e-45,9.5287006412888e-52,-0.2481452226638794,-0.28732362389564514,-0.3622157871723175,-0.4716602861881256,-0.3207963705062866,-0.36630913615226746,-0.43451064825057983,-0.5445341467857361
APS,2025-11-17,8.4,B,5.773265147209168,4.079234719276428,5.242828774452209,3.192492127418518,2.7224810779094697,2.4853614985942842,1.6763197756722524e-18,1.502995774393503e-19,2.397635674807013e-21,1.446315640901186e-22,1.2179925991524874e-33,8.093508573406409e-35,3.2269167112608496e-37,1.510383631342607e-42,-0.31270653009414673,-0.3517902195453644,-0.414729505777359,-0.5143768191337585,-0.3758537173271179,-0.4082472622394562,-0.496104896068573,-0.6199414134025574
APT,2025-11-17,2.2,B,1.4174999594688418,0.9883993983268738,1.2374399423599245,0.8814640164375306,0.6709165841341019,0.5727354884147644,2.1226483583471907e-51,2.2790570628242958e-52,1.7605006752528955e-54,3.064555705657276e-57,3.348243626286074e-98,1.224239866851873e-99,7.199116175140593e-102,3.6606429317262877e-106,-0.355681836605072,-0.39007583260536194,-0.46632298827171326,-0.5507275462150574,-0.43752729892730713,-0.479331374168396,-0.5378092527389526,-0.5993345379829407
